x,y,w,h,Cx,Cy,W,H,distance,angle,x_center,y2,y_low,angle_calculated
0.6631520000000001,0.580305,0.0287,0.13934,3565.1051520000005,1559.8598399999998,154.2912,374.54591999999997,400.0,60.0,877.1051520000005,940.8672000000001,0.510635,58.73472000000004
0.617505,0.539329,0.015973,0.092135,3319.7068799999997,1449.716352,85.87084800000001,247.65887999999998,700.0,45.0,631.7068799999997,1114.454208,0.49326149999999996,42.30179999999998
0.703288,0.540686,0.014101999999999998,0.08027800000000002,3780.876288,1453.363968,75.81235199999999,215.78726400000005,800.0,75.0,1092.876288,1126.7423999999999,0.500547,73.18368
0.5817732757789745,0.5222638411968226,0.016862248912810286,0.04069597024435346,3127.613130587767,1403.845205137059,90.6514501552681,109.3907680168221,1400.0,30.0,439.61313058776705,1229.4594108545298,0.5019158560746458,29.43837928043083
0.6606177882977801,0.5154039518667557,0.008966382159611755,0.032503135328592524,3551.4812298888655,1385.4058226178392,48.20327049007279,87.3684277632567,1800.0,60.0,863.4812298888655,1258.9099635005323,0.49915238420245944,57.82240378720081
0.5788949233798464,0.5209604418324748,0.008116443850732012,0.03554796927029415,3112.139108090054,1400.3416676456923,43.6340021415353,95.55294139855067,1600.0,30.0,424.1391080900539,1239.8818616550325,0.5031864571973277,28.402172416744683
0.6170755886197199,0.5123391792574915,0.013127718281500264,0.026888097685000716,3317.398364419614,1377.167713844137,70.57461348134542,72.27520657728192,2400.0,45.0,629.3983644196142,1274.694682867222,0.4988951304149912,42.14721190309916
0.662521,0.552848,0.017918,0.093002,3561.712896,1486.0554240000001,96.327168,249.989376,600.0,60.0,873.712896,1076.9498879999999,0.506347,58.50756
0.6169483403620734,0.5683587899605194,0.03771849126034965,0.11591536338546461,3316.7142777865065,1527.748427413876,202.77460901563973,311.5804967801289,500.0,45.0,628.7142777865065,1004.4613241960596,0.5104011082677871,42.10140253034642
0.6211199000764824,0.5153361386503206,0.00558510006273508,0.02844043861733091,3339.1405828111697,1385.2235406920618,30.02549793726379,76.44789900338549,2000.0,45.0,651.1405828111697,1264.5525098062456,0.5011159193416551,43.60316402753369
0.6131554737810485,0.6954921803127877,0.19779208831646689,0.2943882244710217,3296.323827046917,1869.4829806807734,1063.330266789326,791.3155473781063,100.0,45.0,608.3238270469169,422.8592456301735,0.5482980680772769,40.735970561177474
0.6689810000000002,0.6561189999999999,0.056414,0.268817,3596.441856000001,1763.6478719999998,303.281664,722.5800959999999,200.0,60.0,908.4418560000008,563.0620800000002,0.5217105,60.833160000000056
