Cx;Cy;W;H;Cx;Cy;W;H;Dist;Ang;Xc;Yc
0.615155;0.5367159999999999;0.011445;0.076111;3307.07328;1442.6926079999996;61.52832;204.586368;80.0;45.0;619.0732800000001;1143.0142080000005
0.585918;0.5641130000000001;0.016799;0.11218;3149.8951680000005;1516.3357440000002;90.311424;301.53984;50.0;34.0;461.89516800000047;1020.8943359999998
0.584105;0.577901;0.02338;0.135353;3140.14848;1553.397888;125.69088;363.828864;40.0;34.0;452.14847999999984;952.68768
0.541492;0.540851;0.012322999999999999;0.069817;2911.0609919999997;1453.807488;66.248448;187.66809600000002;80.0;18.0;223.06099199999971;1140.3584640000001
0.633459;0.5369700000000001;0.008383;0.050309;3405.475584;1443.3753600000002;45.067008;135.230592;100.0;45.0;717.4755839999998;1177.0093439999998
0.600477;0.6884960000000001;0.076836;0.337703;3228.1643520000002;1850.6772480000002;413.070336;907.7456639999999;10.0;34.0;540.1643520000002;383.44992
0.507739;0.59332;0.028638;0.172865;2729.6048640000004;1594.8441599999999;153.957888;464.66112;30.0;0.0;41.60486400000036;860.82528
0.506646;0.631517;0.04705;0.23919999999999997;2723.728896;1697.517696;252.9408;642.9695999999999;20.0;0.0;35.72889600000008;668.9975040000002
0.6074240000000001;0.529208;0.010973;0.052491;3265.5114240000003;1422.511104;58.990848;141.095808;120.0;34.0;577.5114240000003;1194.940992
0.508568;0.527136;0.008401;0.049392;2734.061568;1416.9415680000002;45.163776000000006;132.765696;120.0;0.0;46.06156800000008;1204.6755839999998
0.539582;0.601267;0.029126;0.172404;2900.792832;1616.205696;156.581376;463.42195200000003;30.0;18.0;212.7928320000001;840.0833279999999
0.542776;0.63592;0.033192;0.237087;2917.963776;1709.3529600000002;178.440192;637.289856;20.0;18.0;229.96377600000005;660.0021119999999
0.6330490000000001;0.6536379999999999;0.04449;0.21978799999999998;3403.2714240000005;1756.978944;239.17824000000002;590.7901439999999;20.0;45.0;715.2714240000005;635.6259840000002
0.632762;0.608282;0.028422;0.164801;3401.728512;1635.0620159999999;152.796672;442.985088;30.0;45.0;713.7285120000001;831.4454400000002
