x,y,w,h,Cx,Cy,W,H,distance,angle,x_center,y2,person,y_low,angle_rad
565.6854152679443,565.6854152679443,0.011445,0.076111,3307.07328,1442.6926079999996,61.52832,204.586368,800.0,45.0,619.0732800000001,1143.0142080000005,4,0.4252285000000002,0.7853982
279.5964479446411,414.518803358078,0.016799,0.11218,3149.8951680000005,1516.3357440000002,90.311424,301.53984,500.0,34.0,461.89516800000047,1020.8943359999998,2,0.37979699999999994,0.5934119
223.6771583557129,331.6150426864624,0.02338,0.135353,3140.14848,1553.397888,125.69088,363.828864,400.0,34.0,452.14847999999984,952.68768,2,0.3544225,0.5934119
247.21360206604004,760.8452320098877,0.012322999999999999,0.069817,2911.0609919999997,1453.807488,66.248448,187.66809600000002,800.0,18.0,223.06099199999971,1140.3584640000001,2,0.4242405000000001,0.31415927
707.1067690849304,707.1067690849304,0.008383,0.050309,3405.475584,1443.3753600000002,45.067008,135.230592,1000.0,45.0,717.4755839999998,1177.0093439999998,7,0.4378754999999999,0.7853982
55.91928958892822,82.9037606716156,0.076836,0.337703,3228.1643520000002,1850.6772480000002,413.070336,907.7456639999999,100.0,34.0,540.1643520000002,383.44992,8,0.14265250000000002,0.5934119
0.0,300.0,0.028638,0.172865,2729.6048640000004,1594.8441599999999,153.957888,464.66112,300.0,0.0,41.60486400000036,860.82528,8,0.3202475,0.0
0.0,200.0,0.04705,0.23919999999999997,2723.728896,1697.517696,252.9408,642.9695999999999,200.0,0.0,35.72889600000008,668.9975040000002,8,0.24888300000000005,0.0
671.0314750671387,994.8451280593872,0.010973,0.052491,3265.5114240000003,1422.511104,58.990848,141.095808,1200.0,34.0,577.5114240000003,1194.940992,6,0.4445465,0.5934119
0.0,1200.0,0.008401,0.049392,2734.061568,1416.9415680000002,45.163776000000006,132.765696,1200.0,0.0,46.06156800000008,1204.6755839999998,8,0.44816799999999996,0.0
92.70510077476501,285.3169620037079,0.029126,0.172404,2900.792832,1616.205696,156.581376,463.42195200000003,300.0,18.0,212.7928320000001,840.0833279999999,1,0.312531,0.31415927
61.80340051651001,190.21130800247192,0.033192,0.237087,2917.963776,1709.3529600000002,178.440192,637.289856,200.0,18.0,229.96377600000005,660.0021119999999,1,0.24553649999999996,0.31415927
141.42135381698608,141.42135381698608,0.04449,0.21978799999999998,3403.2714240000005,1756.978944,239.17824000000002,590.7901439999999,200.0,45.0,715.2714240000005,635.6259840000002,7,0.2364680000000001,0.7853982
212.13203072547913,212.13203072547913,0.028422,0.164801,3401.728512,1635.0620159999999,152.796672,442.985088,300.0,45.0,713.7285120000001,831.4454400000002,7,0.3093175000000001,0.7853982
0.0,700.0,0.014855,0.078346,2628.294144,1470.09408,79.86048,210.594048,700.0,0.0,-59.70585600000004,1112.608896,2,0.413917,0.0
0.0,600.0,0.019929,0.093483,2643.873792,1493.6678399999998,107.13830399999999,251.28230399999998,600.0,0.0,-44.12620800000013,1068.6910080000002,2,0.3975785000000001,0.0
212.13203072547913,212.13203072547913,0.039995,0.18600899999999998,3421.7379840000003,1624.4390400000002,215.01312000000001,499.99219199999993,300.0,45.0,733.7379840000003,813.564864,6,0.3026655,0.7853982
